RFC status,Topic 1,Topic 2,RFC,Title,Obsoleted by,
Informational,Reverse DNS,IPv6 Application,8501,Reverse DNS in IPv6 for Internet Service Providers,
Best Current Practice,Clarification/Terminology,,8499,DNS Terminology,
Proposed Standard,Name Registration & Protocols,,8495,Allocation Token Extension for the Extensible Provisioning Protocol (EPP),
Proposed Standard,New RRs/Codes,,8490,DNS Stateful Operations,
Proposed Standard,Encrypted DNS,,8484,DNS Queries over HTTPS (DoH),
Informational,DNS Root,,8483,Yeti DNS Testbed,
Proposed Standard,Threats/Vulnerabilities & Patches,Guidelines/Recommendations,8482,Providing Minimal-Sized Responses to DNS Queries That Have QTYPE=ANY,
Experimental,EDNS & Extensions,Guidelines/Recommendations,8467,Padding Policies for Extension Mechanisms for DNS (EDNS(0)),
Proposed Standard,Email Application,,8463,A New Cryptographic Signature Method for DomainKeys Identified Mail (DKIM),
Informational,Data Collection & Representation,,8427,Representing DNS Messages in JSON,
Proposed Standard,Reverse DNS,Namespace,8375,Special-Use Domain 'home.arpa.',
Proposed Standard,Name Registration & Protocols,,8334,Launch Phase Mapping for the Extensible Provisioning Protocol (EPP),
Informational,Servicing,,8324,"DNS Privacy, Authorization, Special Uses, Encoding, Characters, Matching, and Root Structure: Time for Another Look?",
Proposed Standard,Encrypted DNS,,8310,Usage Profiles for DNS over TLS and DNS over DTLS,
Proposed Standard,Email Application,,8301,Cryptographic Algorithm and Key Usage Update to DomainKeys Identified Mail (DKIM),
Proposed Standard,IDNA/Globalization,,8264,"PRECIS Framework: Preparation, Enforcement, and Comparison of Internationalized Strings in Application Protocols",
Informational,Namespace,Clarification/Terminology,8244,Special-Use Domain Names Problem Statement,
Informational,Service Discovery/mDNS,Guidelines/Recommendations,8222,Selecting Labels for Use with Conventional DNS and Other Resolution Systems in DNS-Based Service Discovery,
Proposed Standard,Servicing,,8198,Aggressive Use of DNSSEC-Validated Cache,
Experimental,PKI Application,,8162,Using Secure DNS to Associate Certificates with Domain Names for S/MIME,
Proposed Standard,DNSSEC - Algorithms/Keys,,8145,Signaling Trust Anchor Knowledge in DNS Security Extensions (DNSSEC),
Informational,DNS Root,,8128,IETF Appointment Procedures for the ICANN Root Zone Evolution Review Committee,
Informational,Threats/Vulnerabilities & Patches,,8117,Current Hostname Practice Considered Harmful,
Best Current Practice,DNS Root,Servicing,8109,Initializing a DNS Resolver with Priming Queries,
Proposed Standard,IPv6 Application,,8106,IPv6 Router Advertisement Options for DNS Configuration,
Experimental,Encrypted DNS,,8094,DNS over Datagram Transport Layer Security (DTLS),
Proposed Standard,DNSSEC - Algorithms/Keys,,8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,
Proposed Standard,DNSSEC - Algorithms/Keys,,8078,Managing DS Records from the Parent via CDS/CDNSKEY,
Proposed Standard,Name Registration & Protocols,,8063,Key Relay Mapping for the Extensible Provisioning Protocol,
Proposed Standard,Name Registration & Protocols,,8056,Extensible Provisioning Protocol (EPP) and Registration Data Access Protocol (RDAP) Status Mapping,
Best Current Practice,DNSSEC - General Operation,Flaws/Errors & Reporting,8027,DNSSEC Roadblock Avoidance,
Informational,Namespace,Threats/Vulnerabilities & Patches,8023,Report from the Workshop and Prize on Root Causes and Mitigation of Name Collisions,
Proposed Standard,Clarification/Terminology,,8020,NXDOMAIN: There Really Is Nothing Underneath,
Proposed Standard,New RRs/Codes,Other Applications,8005,Host Identity Protocol (HIP) Domain Name System (DNS) Extension,
Informational,Email Application,,7960,"Interoperability Issues between Domain-based Message Authentication, Reporting, and Conformance (DMARC) and Indirect Email Flows",
Informational,DNSSEC - Algorithms/Keys,DNS Root,7958,DNSSEC Trust Anchor Publication for the Root Zone,
Experimental,PKI Application,Email Application,7929,DNS-Based Authentication of Named Entities (DANE) Bindings for OpenPGP,
Experimental,EDNS & Extensions,,7901,CHAIN Query Requests in DNS,
Proposed Standard,Servicing,,7873,Domain Name System (DNS) Cookies,
Informational,EDNS & Extensions,,7871,Client Subnet in DNS Queries,
Proposed Standard,Encrypted DNS,,7858,Specification for DNS over Transport Layer Security (TLS),
Proposed Standard,EDNS & Extensions,,7830,The EDNS(0) Padding Option,
Proposed Standard,EDNS & Extensions,,7828,The edns-tcp-keepalive EDNS0 Option,
Proposed Standard,PKI Application,Email Application,7817,Updated Transport Layer Security (TLS) Server Identity Check Procedure for Email-Related Protocols,
Experimental,DNS Privacy,Servicing,7816,DNS Query Name Minimisation to Improve Privacy,9156
Best Current Practice,Reverse DNS,,7793,Adding 100.64.0.0/10 Prefixes to the IPv4 Locally-Served DNS Zones Registry,
Proposed Standard,DNS over TCP,,7766,DNS Transport over TCP - Implementation Requirements,
Informational,Filtering,Guidelines/Recommendations,7754,Technical Considerations for Internet Service Blocking and Filtering,
Informational,Reverse DNS,,7745,XML Schemas for Reverse DNS Management,
Best Current Practice,DNS Root,Guidelines/Recommendations,7720,DNS Root Name Service Protocol and Deployment Requirements,
Informational,Clarification/Terminology,,7719,DNS Terminology,8499
Proposed Standard,Other Applications,,7712,Domain Name Associations (DNA) in the Extensible Messaging and Presence Protocol (XMPP),
Informational,DNS Root,Servicing,7706,Decreasing Access Time to Root Servers by Running One on Loopback,8806
Proposed Standard,Namespace,,7686,"The "".onion"" Special-Use Domain Name",
Proposed Standard,PKI Application,SRV/SVCB Functionalities,7673,Using DNS-Based Authentication of Named Entities (DANE) TLSA Records with SRV Records,
Proposed Standard,PKI Application,Email Application,7672,SMTP Security via Opportunistic DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS),
Proposed Standard,PKI Application,Guidelines/Recommendations,7671,The DNS-Based Authentication of Named Entities (DANE) Protocol: Updates and Operational Guidance,
Informational,DNSSEC - Algorithms/Keys,,7646,Definition and Use of DNSSEC Negative Trust Anchors,
Informational,DNS Privacy,,7626,DNS Privacy Considerations,9076
Informational,DNSSEC - Algorithms/Keys,,7583,DNSSEC Key Rollover Timing Considerations,
Proposed Standard,IDNA/Globalization,,7564,"PRECIS Framework: Preparation, Enforcement, and Comparison of Internationalized Strings in Application Protocols",8264
Informational,Service Discovery/mDNS,Guidelines/Recommendations,7558,Requirements for Scalable DNS-Based Service Discovery (DNS-SD) / Multicast DNS (mDNS) Extensions,
Informational,New RRs/Codes,,7553,The Uniform Resource Identifier (URI) DNS Resource Record,
Informational,Reverse DNS,,7535,AS112 Redirection Using DNAME,
Informational,Reverse DNS,,7534,AS112 Nameserver Operations,
Proposed Standard,Email Application,,7505,"A ""Null MX"" No Service Resource Record for Domains That Accept No Mail",
Informational,Email Application,,7489,"Domain-based Message Authentication, Reporting, and Conformance (DMARC)",
Informational,Name Registration & Protocols,,7485,Inventory and Analysis of WHOIS Registration Objects,
Proposed Standard,Name Registration & Protocols,,7484,Finding the Authoritative Registration Data (RDAP) Service,9224
Proposed Standard,Name Registration & Protocols,,7483,JSON Responses for the Registration Data Access Protocol (RDAP),9083
Proposed Standard,Name Registration & Protocols,,7482,Registration Data Access Protocol (RDAP) Query Format,9082
Informational,Other Applications,,7479,Using Ed25519 in SSHFP Resource Records,
Proposed Standard,Zone Transfer/Update,,7477,Child-to-Parent Synchronization in DNS,
Informational,Other Applications,,7393,Using the Port Control Protocol (PCP) to Update Dynamic DNS,
Proposed Standard,DNSSEC - Algorithms/Keys,,7344,Automating DNSSEC Delegation Trust Maintenance,
Informational,Other Applications,,7336,Framework for Content Distribution Network Interconnection (CDNI),
Experimental,EDNS & Extensions,,7314,Extension Mechanisms for DNS (EDNS) EXPIRE Option,
Informational,Namespace,Threats/Vulnerabilities & Patches,7304,A Method for Mitigating Namespace Collisions,
Proposed Standard,PKI Application,Clarification/Terminology,7218,Adding Acronyms to Simplify Conversations about DNS-Based Authentication of Named Entities (DANE),
Proposed Standard,Other Applications,Reverse DNS,7216,Location Information Server (LIS) Discovery Using IP Addresses and Reverse DNS,
Proposed Standard,Email Application,New RRs/Codes,7208,"Sender Policy Framework (SPF) for Authorizing Use of Domains in E-Mail, Version 1",
Informational,DNSSEC - General Operation,,7129,Authenticated Denial of Existence in the DNS,
